Year	FIPS County Code	County Name	DHS Service Area	Judicial District	Age Group	Victims	County Primary Point
2004		Missing			5 Years Old and Younger	0	
2004		Missing			11 Years Old and Older	0	
2004	19175	Union	6-Des Moines	5-FifthJD	6 to 10 Years Old	23	POINT (-94.2423792 41.0277304)
2008	19047	Crawford	5-Council Bluffs	3-Third JD	11 Years Old and Older	17	POINT (-95.3819678 42.0372125)
2012	19093	Ida	1-Western	3-Third JD	5 Years Old and Younger	18	POINT (-95.5134962 42.3868747)
2017	19137	Montgomery	1-Western	4-FourthJD	11 Years Old and Older	7	POINT (-95.1563758 41.03014)
2009	19061	Dubuque	3-Dubuque	1-First JD	5 Years Old and Younger	211	POINT (-90.8824564 42.468832)
2004	19041	Clay	1-Sioux City	3-Third JD	6 to 10 Years Old	22	POINT (-95.1509194 43.0825804)
2006	19083	Hardin	4-Ames	2-Second JD	5 Years Old and Younger	35	POINT (-93.2404025 42.3838803)
2013	19101	Jefferson	4-Cedar Rapids	8-Eigth JD	6 to 10 Years Old	9	POINT (-91.9488774 41.0317596)
2009	19053	Decatur	6-Des Moines	5-FifthJD	5 Years Old and Younger	27	POINT (-93.7862815 40.7376827)
2007	19025	Calhoun	4-Ames	2-Second JD	11 Years Old and Older	6	POINT (-94.6404136 42.385184800000005)
2012	19193	Woodbury	1-Western	3-Third JD	11 Years Old and Older	85	POINT (-96.0447673 42.3897169)
2005	19029	Cass	5-Council Bluffs	4-FourthJD	6 to 10 Years Old	10	POINT (-94.9278266 41.3314876)
2014	19121	Madison	5-Des Moines	5-FifthJD	5 Years Old and Younger	15	POINT (-94.01556190000001 41.33071420000001)
2013	19093	Ida	1-Western	3-Third JD	6 to 10 Years Old	13	POINT (-95.5134962 42.3868747)
2011	19009	Audubon	1-Western	4-FourthJD	6 to 10 Years Old	8	POINT (-94.9058222 41.6845893)
2013	19041	Clay	1-Western	3-Third JD	11 Years Old and Older	15	POINT (-95.1509194 43.0825804)
2012	19155	Pottawattamie	1-Western	4-FourthJD	5 Years Old and Younger	227	POINT (-95.5423935 41.3366123)
2007	19025	Calhoun	4-Ames	2-Second JD	6 to 10 Years Old	14	POINT (-94.6404136 42.385184800000005)
2005	19095	Iowa	7-Cedar Rapids	6-SixthJD	5 Years Old and Younger	26	POINT (-92.065524 41.6863229)
2009	19129	Mills	5-Council Bluffs	4-FourthJD	5 Years Old and Younger	6	POINT (-95.62132670000001 41.0334523)
2014	19077	Guthrie	1-Western	5-FifthJD	6 to 10 Years Old	8	POINT (-94.501055 41.6837548)
2006	19131	Mitchell	2-Waterloo	2-Second JD	5 Years Old and Younger	8	POINT (-92.7890315 43.3564124)
2006	19055	Delaware	3-Dubuque	1-First JD	6 to 10 Years Old	12	POINT (-91.3673502 42.471211)
2012	19011	Benton	4-Cedar Rapids	6-SixthJD	11 Years Old and Older	26	POINT (-92.0656912 42.0801864)
2005	19071	Fremont	5-Council Bluffs	4-FourthJD	5 Years Old and Younger	7	POINT (-95.6046765 40.7455892)
2011	19111	Lee	3-Eastern	8-Eigth JD	6 to 10 Years Old	59	POINT (-91.479264 40.6419764)
2010	19059	Dickinson	1-Western	3-Third JD	11 Years Old and Older	16	POINT (-95.1508301 43.3779848)
2010	19101	Jefferson	4-Cedar Rapids	8-Eigth JD	11 Years Old and Older	10	POINT (-91.9488774 41.0317596)
2006	19027	Carroll	5-Council Bluffs	2-Second JD	11 Years Old and Older	21	POINT (-94.8605593 42.0362382)
2011	19103	Johnson	4-Cedar Rapids	6-SixthJD	5 Years Old and Younger	173	POINT (-91.5880849 41.6715511)
2012	19027	Carroll	1-Western	2-Second JD	5 Years Old and Younger	34	POINT (-94.8605593 42.0362382)
2012	19043	Clayton	2-Northern	1-First JD	6 to 10 Years Old	16	POINT (-91.34143280000002 42.8447493)
2017	19051	Davis	4-Cedar Rapids	8-Eigth JD	5 Years Old and Younger	5	POINT (-92.4097173 40.7476891)
2008	19031	Cedar	8-Davenport	7-Seventh JD	6 to 10 Years Old	14	POINT (-91.1324125 41.7723207)
2006	19045	Clinton	3-Dubuque	7-Seventh JD	6 to 10 Years Old	40	POINT (-90.5319724 41.8980358)
2017	19085	Harrison	1-Western	4-FourthJD	11 Years Old and Older	13	POINT (-95.8169209 41.6828528)
2017	19169	Story	5-Des Moines	2-Second JD	11 Years Old and Older	71	POINT (-93.4650448 42.0362415)
2004	19097	Jackson	3-Dubuque	7-Seventh JD	5 Years Old and Younger	37	POINT (-90.5742294 42.1717426)
2007	19169	Story	4-Ames	2-Second JD	11 Years Old and Older	45	POINT (-93.4650448 42.0362415)
2016	19063	Emmet	1-Western	3-Third JD	6 to 10 Years Old	14	POINT (-94.6784803 43.37802250000001)
2015	19041	Clay	1-Western	3-Third JD	11 Years Old and Older	12	POINT (-95.1509194 43.0825804)
2006	19195	Worth	2-Waterloo	2-Second JD	6 to 10 Years Old	12	POINT (-93.2608476 43.3773984)
2013	19137	Montgomery	1-Western	4-FourthJD	6 to 10 Years Old	33	POINT (-95.1563758 41.03014)
2006	19127	Marshall	4-Ames	2-Second JD	6 to 10 Years Old	46	POINT (-92.9987706 42.0358499)
2005	19093	Ida	1-Sioux City	3-Third JD	11 Years Old and Older	3	POINT (-95.5134962 42.3868747)
2011	19127	Marshall	2-Northern	2-Second JD	11 Years Old and Older	40	POINT (-92.9987706 42.0358499)
